Row	Column	Timepoint	Nuclei_Number_of_Objects	Nuclei_IntNucGFP_Mean_Mean_per_Well	Nuclei_IntNucGFP_StdDev_Mean_per_Well	Nuclei_IntNucGFP_Sum_Mean_per_Well	Nuclei_IntNucGFP_Contrast_Mean_per_Well	Nuclei_IntCell DPC Mean_Mean_per_Well	Nuclei_IntCell_DPC_StdDev_Mean_per_Well	Nuclei_IntCell_DPC_Sum_Mean_per_Well	Nuclei_IntCell_DPC_Contrast_Mean_per_Well	Nuclei_NucMoph_Area_Micrometers_Mean_per_Well	Nuclei_NucMoph_Roundness_Mean_per_Well	Nuclei_NucMoph_Ratio_Width_to_Length_Mean_per_Well	Nuclei_CellMoph_Area_Micrometers_ Mean_per_Well	Nuclei_CellMoph_Roundness_Mean_per_Well	Nuclei_CellMoph_Ratio_Width_to_Length_Mean_per_Well	Time_in_seconds	Compound	Concentration
P	1	0	35	532.3	80.59	64846	0.3981	770.3	350.9	337492	0.8454	123.9	0.862	0.5904	514.8	0.7456	0.425	0	Mock	0
P	1	1	3526	196.5	7.007	8555	0.03638	47.91	23.98	7163	0.06819	41.73	0.5556	0.3726	61.73	0.5868	0.3865	1803	Mock	0
P	1	2	18482	215.6	9.634	10709	0.04287	34.56	24.55	2460	0.09233	48.88	0.6753	0.433	52.46	0.6962	0.4427	3602	Mock	0
P	1	3	17764	231.3	9.479	11464	0.04127	31.83	22.96	2264	-0.01899	48.76	0.676	0.4325	51.76	0.6913	0.4399	5403	Mock	0
P	1	4	806	265.7	12.08	18944	0.04732	89.53	49.25	29375	0.0906	67.16	0.5098	0.3518	129.3	0.5398	0.3577	7202	Mock	0
P	1	5	17330	244.1	9.784	12293	0.04055	32.65	21.75	2348	-0.03144	49.54	0.6751	0.4322	52.38	0.6892	0.4389	9003	Mock	0
P	1	6	456	289.2	16.9	26844	0.06436	118.3	62.37	48526	0.1793	89.33	0.5322	0.3715	167.3	0.5529	0.3659	10802	Mock	0
P	1	7	882	266	12.32	17683	0.04699	95.74	51.61	28997	0.1748	62.26	0.513	0.3555	122.8	0.5495	0.3629	12603	Mock	0
P	1	8	17802	250.5	9.826	12609	0.0421	31.65	20.76	2284	-0.09296	49.51	0.6758	0.4336	52.44	0.6918	0.4415	14402	Mock	0
P	1	9	63	577.6	89.81	65526	0.3623	845.8	394.6	378724	0.8402	117.8	0.8445	0.6156	454.5	0.7596	0.4615	16203	Mock	0
P	1	10	16981	244.6	9.946	12446	0.04171	34.46	22.2	2618	-0.06557	50.04	0.677	0.4346	53.08	0.6913	0.4413	18002	Mock	0
P	1	11	182	378.5	41.11	40228	0.151	335.2	160.5	136569	0.3906	104.7	0.6558	0.4728	258.3	0.6439	0.4131	19802	Mock	0
P	1	12	17438	254.8	9.748	12779	0.04045	37.94	23.59	2750	-0.0744	49.34	0.6753	0.4322	52.49	0.692	0.4405	21602	Mock	0
P	1	13	127	422	47.81	43663	0.209	456.2	218.8	182765	0.4931	99.49	0.6924	0.4834	288.2	0.6662	0.415	23402	Mock	0
P	1	14	635	301.4	15.98	25055	0.05837	114.9	61.07	43800	0.1855	79.45	0.5356	0.3735	156.6	0.5542	0.3686	25202	Mock	0
P	1	15	817	298.1	14.22	22334	0.05172	114.7	59.44	38152	0.2036	71.3	0.5022	0.3539	145.7	0.5371	0.3587	27002	Mock	0
P	1	16	293	326.3	27.52	35094	0.1106	237.9	119.9	100188	0.3367	109.4	0.5688	0.4005	242.4	0.5637	0.3734	28802	Mock	0
